[23Jan2025 00:00:24.660] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Rumo_fr3 has made the advancement [Surge Protector]
[23Jan2025 00:00:24.663] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: hoaku has made the advancement [Surge Protector]
[23Jan2025 00:00:24.663] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Thecno662 has made the advancement [Surge Protector]
[23Jan2025 00:02:51.484] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Not Secure] <Rumo_fr3> wdw
[23Jan2025 00:02:52.398] [Server thread/WARN] [tombstone/]: The death event of the player Rumo_fr3 was canceled by another mod
[23Jan2025 00:02:52.489] [Server thread/INFO] [tombstone/]: The player Rumo_fr3 has successfully been saved
[23Jan2025 00:03:08.713] [Server thread/INFO] [com.tiviacz.travelersbackpack.TravelersBackpack/]: Created new backpack backup file for Rumo_fr3 with unique ID 3d302443-525e-4132-966f-bf86eaa6d485
[23Jan2025 00:03:08.714] [Server thread/INFO] [com.tiviacz.travelersbackpack.TravelersBackpack/]: Your backpack has been placed at X: -3880 Y: 72 Z: -1391
[23Jan2025 00:03:08.714] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Rumo_fr3 was slain by Frostmaw
[23Jan2025 00:03:09.366] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: hoaku has completed the challenge [Rude Awakening]
[23Jan2025 00:05:42.948] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
[23Jan2025 00:05:43.047] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
[23Jan2025 00:05:43.147] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
[23Jan2025 00:05:43.250] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
[23Jan2025 00:05:43.346] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
[23Jan2025 00:05:43.454] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
[23Jan2025 00:05:43.545] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
[23Jan2025 00:05:43.646] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
[23Jan2025 00:05:43.748] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
[23Jan2025 00:05:43.844] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
[23Jan2025 00:05:43.966] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
[23Jan2025 00:05:44.049] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
[23Jan2025 00:05:44.148] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
[23Jan2025 00:05:44.251] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
[23Jan2025 00:05:44.347] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
[23Jan2025 00:05:44.448] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
[23Jan2025 00:05:44.552] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
[23Jan2025 00:05:44.652] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
[23Jan2025 00:05:44.748] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
